ID,LOOPGROUP_ID,TIME,VALIDITY,LV,MV,SV,LS,MS,SS,VOLUME,SPEED,OCCUPY,VH,DEAL_FLAG,HAS_VEHICLE
15567294,NHWX09(1),2009/4/19,valid,0,0,5,0,0,66,5,66,7,35,0,y
15567480,NHWX09(1),2009/4/19 0:00,valid,0,0,4,0,0,50,4,50,9,42,0,y
15568274,NHWX09(1),2009/4/19 0:00,valid,0,0,4,0,0,47,4,47,9,59,0,y
15568601,NHWX09(1),2009/4/19 0:01,valid,1,1,5,48,53,50,7,50,16,30,0,y
15569784,NHWX09(1),2009/4/19 0:01,valid,0,1,5,0,53,57,6,56,11,32,0,y
15570099,NHWX09(1),2009/4/19 0:01,valid,0,0,2,0,0,68,2,68,3,91,0,y
15570883,NHWX09(1),2009/4/19 0:02,valid,0,0,3,0,0,60,3,60,5,72,0,y
15571252,NHWX09(1),2009/4/19 0:02,valid,0,1,4,0,67,60,5,61,9,39,0,y
15571682,NHWX09(1),2009/4/19 0:02,valid,0,0,4,0,0,66,4,66,5,45,0,y
15572388,NHWX09(1),2009/4/19 0:03,valid,0,0,1,0,0,64,1,64,2,104,0,y
15573312,NHWX09(1),2009/4/19 0:03,valid,0,0,1,0,0,71,1,71,3,327,0,y
15573840,NHWX09(1),2009/4/19 0:03,valid,0,0,4,0,0,66,4,66,5,45,0,y
15574692,NHWX09(1),2009/4/19 0:04,valid,0,0,2,0,0,63,2,63,3,80,0,y
15574792,NHWX09(1),2009/4/19 0:04,valid,0,0,3,0,0,55,3,55,5,81,0,y
15575728,NHWX09(1),2009/4/19 0:04,valid,0,0,4,0,0,56,4,56,10,53,0,y
15576532,NHWX09(1),2009/4/19 0:05,valid,0,0,6,0,0,58,6,58,9,23,0,y
15577460,NHWX09(1),2009/4/19 0:05,valid,0,0,2,0,0,58,2,58,4,205,0,y
15578332,NHWX09(1),2009/4/19 0:06,valid,0,0,3,0,0,70,3,70,4,76,0,y
15578462,NHWX09(1),2009/4/19 0:06,valid,0,0,1,0,0,70,1,70,2,74,0,y
15579030,NHWX09(1),2009/4/19 0:06,valid,0,0,2,0,0,57,2,57,4,160,0,y
15579941,NHWX09(1),2009/4/19 0:07,valid,0,0,5,0,0,61,5,61,12,44,0,y
15580261,NHWX09(1),2009/4/19 0:07,valid,0,0,2,0,0,65,2,65,2,86,0,y
15581260,NHWX09(1),2009/4/19 0:07,valid,0,0,3,0,0,55,3,55,5,75,0,y
15581639,NHWX09(1),2009/4/19 0:08,valid,0,0,4,0,0,63,4,63,6,46,0,y
15582131,NHWX09(1),2009/4/19 0:08,valid,0,0,2,0,0,63,2,63,3,72,0,y
15582652,NHWX09(1),2009/4/19 0:08,valid,0,0,1,0,0,69,1,69,2,195,0,y
15583476,NHWX09(1),2009/4/19 0:09,valid,0,0,3,0,0,64,3,64,4,88,0,y
15583900,NHWX09(1),2009/4/19 0:09,valid,0,0,4,0,0,63,4,63,6,36,0,y
15584302,NHWX09(1),2009/4/19 0:09,valid,0,0,4,0,0,62,4,62,7,45,0,y
15585068,NHWX09(1),2009/4/19 0:10,valid,0,0,1,0,0,84,1,84,1,126,0,y
15585742,NHWX09(1),2009/4/19 0:10,valid,0,0,5,0,0,64,5,64,8,70,0,y
15586151,NHWX09(1),2009/4/19 0:10,valid,0,0,3,0,0,65,3,65,4,46,0,y
15586603,NHWX09(1),2009/4/19 0:11,valid,0,0,4,0,0,64,4,64,7,67,0,y
15587391,NHWX09(1),2009/4/19 0:11,valid,0,0,6,0,0,57,6,57,10,26,0,y
15587611,NHWX09(1),2009/4/19 0:11,valid,0,0,2,0,0,70,2,70,4,106,0,y
15588211,NHWX09(1),2009/4/19 0:12,valid,0,0,3,0,0,67,3,67,5,67,0,y
15588804,NHWX09(1),2009/4/19 0:12,valid,0,0,3,0,0,59,3,59,5,63,0,y
15589805,NHWX09(1),2009/4/19 0:12,valid,0,0,1,0,0,64,1,64,1,183,0,y
15590397,NHWX09(1),2009/4/19 0:13,valid,0,0,1,0,0,72,1,72,1,167,0,y
15590904,NHWX09(1),2009/4/19 0:13,valid,0,0,1,0,0,64,1,64,2,205,0,y
15591237,NHWX09(1),2009/4/19 0:13,valid,0,0,1,0,0,64,1,64,2,97,0,y
15591657,NHWX09(1),2009/4/19 0:14,valid,0,0,3,0,0,58,3,58,5,125,0,y
15592986,NHWX09(1),2009/4/19 0:14,valid,0,0,1,0,0,70,1,70,1,339,0,y
15593357,NHWX09(1),2009/4/19 0:15,valid,0,0,6,0,0,56,6,56,10,43,0,y
15593917,NHWX09(1),2009/4/19 0:15,valid,0,0,2,0,0,66,2,66,3,31,0,y
15594546,NHWX09(1),2009/4/19 0:15,valid,0,0,3,0,0,71,3,71,5,86,0,y
15595894,NHWX09(1),2009/4/19 0:16,valid,0,0,3,0,0,60,3,60,5,137,0,y
15596587,NHWX09(1),2009/4/19 0:16,valid,0,0,3,0,0,70,3,70,4,79,0,y
15596943,NHWX09(1),2009/4/19 0:17,valid,0,0,2,0,0,72,2,72,3,114,0,y
15597278,NHWX09(1),2009/4/19 0:17,valid,0,0,3,0,0,68,3,68,4,58,0,y
15597999,NHWX09(1),2009/4/19 0:17,valid,0,0,1,0,0,74,1,74,1,179,0,y
15598488,NHWX09(1),2009/4/19 0:18,valid,0,1,1,0,86,71,2,78,3,91,0,y
15599216,NHWX09(1),2009/4/19 0:18,valid,0,0,1,0,0,65,1,65,2,90,0,y
15599604,NHWX09(1),2009/4/19 0:18,valid,0,0,2,0,0,58,2,58,4,170,0,y
15600343,NHWX09(1),2009/4/19 0:19,valid,0,0,1,0,0,56,1,56,2,81,0,y
15600790,NHWX09(1),2009/4/19 0:19,valid,0,0,2,0,0,68,2,68,3,124,0,y
15601426,NHWX09(1),2009/4/19 0:19,valid,0,0,1,0,0,69,1,69,1,140,0,y
15602138,NHWX09(1),2009/4/19 0:20,valid,0,0,1,0,0,92,1,92,1,185,0,y
15603092,NHWX09(1),2009/4/19 0:20,valid,0,0,2,0,0,67,2,67,3,289,0,y
15603716,NHWX09(1),2009/4/19 0:21,valid,0,0,2,0,0,70,2,70,3,90,0,y
15604200,NHWX09(1),2009/4/19 0:21,valid,0,0,4,0,0,62,4,62,6,30,0,y
15604928,NHWX09(1),2009/4/19 0:21,valid,0,0,2,0,0,58,2,58,4,120,0,y
15605149,NHWX09(1),2009/4/19 0:22,valid,0,0,2,0,0,73,2,73,3,65,0,y
15605696,NHWX09(1),2009/4/19 0:22,valid,0,0,3,0,0,72,3,72,4,87,0,y
15606656,NHWX09(1),2009/4/19 0:22,valid,0,0,2,0,0,70,2,70,3,129,0,y
15607517,NHWX09(1),2009/4/19 0:23,valid,0,1,3,0,55,66,4,63,7,81,0,y
15608307,NHWX09(1),2009/4/19 0:23,valid,0,0,2,0,0,66,2,66,2,74,0,y
15608571,NHWX09(1),2009/4/19 0:24,valid,0,0,1,0,0,64,1,64,1,217,0,y
15609420,NHWX09(1),2009/4/19 0:24,valid,0,0,3,0,0,92,3,92,5,105,0,y
15609782,NHWX09(1),2009/4/19 0:24,valid,0,0,4,0,0,66,4,66,5,49,0,y
15610313,NHWX09(1),2009/4/19 0:25,valid,0,0,3,0,0,75,3,75,4,60,0,y
15610785,NHWX09(1),2009/4/19 0:25,valid,0,0,3,0,0,57,3,57,5,40,0,y
15611452,NHWX09(1),2009/4/19 0:25,valid,0,0,1,0,0,77,1,77,1,121,0,y
15612127,NHWX09(1),2009/4/19 0:26,valid,0,0,4,0,0,66,4,66,6,73,0,y
15612867,NHWX09(1),2009/4/19 0:26,valid,0,0,2,0,0,56,2,56,3,76,0,y
15613023,NHWX09(1),2009/4/19 0:26,valid,0,0,2,0,0,49,2,49,4,145,0,y
15613617,NHWX09(1),2009/4/19 0:27,valid,0,0,5,0,0,64,5,64,8,41,0,y
15614276,NHWX09(1),2009/4/19 0:27,valid,0,0,2,0,0,78,2,78,3,85,0,y
15614911,NHWX09(1),2009/4/19 0:27,valid,0,0,3,0,0,63,3,63,4,52,0,y
15615474,NHWX09(1),2009/4/19 0:28,valid,0,0,4,0,0,68,4,68,6,71,0,y
15615921,NHWX09(1),2009/4/19 0:28,valid,0,0,2,0,0,58,2,58,4,100,0,y
15616512,NHWX09(1),2009/4/19 0:28,valid,0,0,2,0,0,72,2,72,3,100,0,y
15617161,NHWX09(1),2009/4/19 0:29,valid,0,0,2,0,0,71,2,71,3,93,0,y
15617892,NHWX09(1),2009/4/19 0:29,valid,0,0,1,0,0,57,1,57,2,303,0,y
15618827,NHWX09(1),2009/4/19 0:30,valid,0,0,1,0,0,49,1,49,3,277,0,y
15619242,NHWX09(1),2009/4/19 0:30,valid,0,0,1,0,0,84,1,84,1,70,0,y
15620431,NHWX09(1),2009/4/19 0:31,valid,0,0,2,0,0,60,2,60,3,244,0,y
15621394,NHWX09(1),2009/4/19 0:31,valid,0,1,1,0,58,86,2,72,4,191,0,y
15621925,NHWX09(1),2009/4/19 0:32,valid,0,0,4,0,0,67,4,67,6,70,0,y
15622384,NHWX09(1),2009/4/19 0:32,valid,0,0,2,0,0,81,2,81,2,44,0,y
15622804,NHWX09(1),2009/4/19 0:32,valid,0,0,1,0,0,55,1,55,2,221,0,y
15623566,NHWX09(1),2009/4/19 0:33,valid,0,0,1,0,0,74,1,74,1,294,0,y
